proverb	topic
Душа в теле, а рубаху вши съели.	Достаток — Убожество
Он на камешке родился (т. е. наг).	Достаток — Убожество
И холодно, и голодно, и мошна пуста.	Достаток — Убожество
И наго, и босо, и без пояса.	Достаток — Убожество
Голь да перетыка. Голь перекатная.	Достаток — Убожество
Где холодно, тут и голодно.	Достаток — Убожество
Где наго, там и босо.	Достаток — Убожество
Нужда беду родит. Голь нужду знает.	Достаток — Убожество
Гол, как лутошка; бос, как гусь.	Достаток — Убожество
Весь тут: гол, как прут.	Достаток — Убожество
Все животы наши нищий в котомке унесет.	Достаток — Убожество
Его нищий сумой прикроет.	Достаток — Убожество
День по дню хуже, а платье уже.	Достаток — Убожество
Его и самого-то в суму положить да краюхой прикрыть.	Достаток — Убожество
Овец не стало, так и на коз честь пала.	Достаток — Убожество
Антипа не липа: хоть луб содрал, да им не покрылся.	Достаток — Убожество
Бедному да вору — всякая одежда впору.	Достаток — Убожество
Бедность крадет, нужда лжет.	Достаток — Убожество
Хлеб да вода — молодецкая еда (солдатская, мужицкая,  бурлацкая еда).	Достаток — Убожество
Хлеб да вода — здоровая еда.	Достаток — Убожество
Как хлеба край, так и под елью рай (прибавка: а хлеба ни  куска, так и в тереме тоска).	Достаток — Убожество
Голо, голо, а луковка во щи есть.	Достаток — Убожество
Меньше на дворе (т. е. добра), легче голове.	Достаток — Убожество
Больше ремесла (т. е. заботы), больше и злыдней.	Достаток — Убожество
Богатый на деньги, убогий на выдумки.	Достаток — Убожество
Нужда вежлива, голь догадлива.	Достаток — Убожество
Нужда нужу ведет, а горе сводит.	Достаток — Убожество
Нужда научит богу молиться.	Достаток — Убожество
Нужда — богомолка. Нужда приводит к богу.	Достаток — Убожество
Кто нужды не знавал, досыта богу не маливался.	Достаток — Убожество
Голь хитра, голь мудрена, голь на выдумки горазда.	Достаток — Убожество
Нужды не проведешь.	Достаток — Убожество
Нужда чутьем идет (или: слышит).	Достаток — Убожество
Бедность учит, а счастье портит.	Достаток — Убожество
Убожество учит, богатство пучит.	Достаток — Убожество
Бедность гнет, а счастье (или: богатство) дмет.	Достаток — Убожество
Сума да тюрьма дадут ума.	Достаток — Убожество
Что ни беднеют, то мудреют (или: мудренеют).	Достаток — Убожество
Нужда горюет, нужда воюет.	Достаток — Убожество
Голь мудрена: и без ужина спит.	Достаток — Убожество
Куда нам есть сметану с калачом: хлебаем и снятое с  чернячком (т. е. со ржаным хлебом).	Достаток — Убожество
Нужда из Сызрани в Москву пеши шла.	Достаток — Убожество
Нужда и горбится и прямится.	Достаток — Убожество
Нужда научит кузнеца сапоги тачать.	Достаток — Убожество
Нужда научит горшки узнавать (или: обжигать).	Достаток — Убожество
Нужда в закройщики ставит.	Достаток — Убожество
Нужда и за заплаткой грош найдет.	Достаток — Убожество
Станешь лапти плесть, как нечего есть.	Достаток — Убожество
Станешь ворожить, как нечего на зуб положить.	Достаток — Убожество
Нужда закона не знает (прибавка: а через шагает).	Достаток — Убожество
Про нужду закон не писан. Нужда свой закон пишет.	Достаток — Убожество
Нужда железо ломает (или: переедает). Нужда — что ржа.	Достаток — Убожество
Мужик нужду в реке топил, да не избыл (из сказки:  нужда-птица, филин).	Достаток — Убожество
Пусть бы не было муки в закроме, не переводился бы только  печеный хлеб.	Достаток — Убожество
Нужда скачет, нужда пляшет, нужда песенки поет.	Достаток — Убожество
Засек плачет, краюшка скачет (т. е. последняя).	Достаток — Убожество
Нужда и плачет припеваючи.	Достаток — Убожество
Нужда и в велик день (или: и в праздник) постится.	Достаток — Убожество
Ел бы мясо, да в зубах вязнет (или: завязло).	Достаток — Убожество
Лег — свернулся, встал — встряхнулся: вот моя жизнь.	Достаток — Убожество
Одна голова не бедна (прибавка: а и бедна, да одна).	Достаток — Убожество
Один хлеба не съешь.	Достаток — Убожество
Будешь жив, будешь и сыт.	Достаток — Убожество
Что мне золото, светило бы солнышко.	Достаток — Убожество
Был бы хлеб, а зубы сыщутся.	Достаток — Убожество
Хлебало-то (рот) есть, да хлёбова нету.	Достаток — Убожество
Было бы хлёбово, а хлебалку (ложку) найдем.	Достаток — Убожество
Тужить тому по лету, у кого шубы нету.	Достаток — Убожество
На каждую душу готова краюшка (т. е. у нас,где землю делят  по душам).	Достаток — Убожество
Душа не без доли, мужик не без тягла.	Достаток — Убожество
На Руси никто с голоду не помирал (или: не умирывал).	Достаток — Убожество
Беда деньгу родит. Голод перед сытостью.	Достаток — Убожество
Деньги прах, да и мы прах.	Достаток — Убожество
Деньги прах — ну их в тартарарах.	Достаток — Убожество
Деньги прах, а животы — что голуби: где поведутся.	Достаток — Убожество
Животы — что голуби: где хотят, там и сидят.	Достаток — Убожество
Денежки — что голуби: где обживутся, там и поведутся.	Достаток — Убожество
Животок — что голубок: вспорхнул, улетел.	Достаток — Убожество
Кому свинья, а нам семья.	Достаток — Убожество
У богатого телята, а у бедного ребята. Богатому телята, а  бедному ребята.	Достаток — Убожество
У богатого всякий волос в масле, а у бедного и в кашу нет.	Достаток — Убожество
Кто пожимается, тот не занимается (т. е. займует); кто с  достатком, тот с распорядком; а у кого через край, тому больше подавай.	Достаток — Убожество
Бога хвалим, Христа величаем, богатого богатину проклинаем.	Достаток — Убожество
Дай вам бог пировать, а нам бы крохи подбирать!	Достаток — Убожество
С нагого (или: С нищего) снять, кому отдать?	Достаток — Убожество
Нищего убить — не спасенье нажить.	Достаток — Убожество
Убогого убить — добычи не добыть.	Достаток — Убожество
Убить нас некому, да и снять с нас нечего.	Достаток — Убожество
На голом нечего взять. С нагого взятки гладки.	Достаток — Убожество
И бог не возьмет, как ничего нет. Чего нет, того и бог не  возьмет.	Достаток — Убожество
Из нета ничего не скроишь (или: не выкроишь).	Достаток — Убожество
Из нета не выкроишь естя.	Достаток — Убожество
На нет и суда нет.	Достаток — Убожество
Пожалуй, ищи; а как нет, так не взыщи!	Достаток — Убожество
Как чего нет, так и не подиви(сь).	Достаток — Убожество
Нищий на нищем не ищет.	Достаток — Убожество
На нищем не ищут. На нищем ничего не сыщешь.	Достаток — Убожество
С сумой да с клюкой не натягаешься.	Достаток — Убожество
С голого — что с мертвого: ничего не возьмешь.	Достаток — Убожество
Голому разбой не страшен. За голым гнать — нечего снять.	Достаток — Убожество
На голом — что на святом: нечего взять.	Достаток — Убожество
Голый — что святой: беды не боится.	Достаток — Убожество
Мокрый дождя, а нагой разбою не боится.	Достаток — Убожество
Богачи едят калачи, да не спят ни в день, ни в ночи; бедняк  чего ни хлебнет, да заснет.	Достаток — Убожество
Богатый бедного не кормит, а все сыты бывают.	Достаток — Убожество
Богатый не золото ест, а бедный не камень гложет.	Достаток — Убожество
Богатый не сахар зоблет, убогий не камень гложет.	Достаток — Убожество
И голыш не без праздника.	Достаток — Убожество
Не по небу и богач ступает, не под землей живет и убогий.	Достаток — Убожество
Кто в камке, кто в парче, а кто и в холсту — по тому ж  мосту.	Достаток — Убожество
Мы люди бедны, у нас ворота медны; а вы люди начальные, у  вас ворота мочальные.	Достаток — Убожество
Хоть воротишки, да с замчишком.	Достаток — Убожество
Богатый бедному дивится, чем он живится? Ан бог помог.	Достаток — Убожество
Никто того не ведает, как бедный обедает.	Достаток — Убожество
Не хитро жить издеваючись; хитро жить измогаючи.	Достаток — Убожество
Хоть есть нечего, да жить весело.	Достаток — Убожество
Богатство с деньгами, голь с весельем.	Достаток — Убожество
И суак (?), да плачет, и краюшка, да скачет.	Достаток — Убожество
Богатому — как хочется, а бедному — как можется.	Достаток — Убожество
Богатый, как хочет, а бедный, как может.	Достаток — Убожество
За богатым не угоняешься. За богатым не утягаешься.	Достаток — Убожество
Бог пристанет, и малого станет.	Достаток — Убожество
Господь одним хлебом напитал тысячи.	Достаток — Убожество
У бедного и два гроша — куча хороша.	Достаток — Убожество
Одна копейка — и та ребром.	Достаток — Убожество
Бедный времени не ищет.	Достаток — Убожество
Бедный по чужому тужит (т. е. своего нет, а завидует).	Достаток — Убожество
Лыко да мочало, а далеко умчало (об упряжи).	Достаток — Убожество
Лыки да мочала, а туда же помчали (или: домчали. Об упряжи).	Достаток — Убожество
Не тужи, у кого мочальны гужи; тужи, у кого ременные  (мочальны связать можно, а ременных на пути не починишь).	Достаток — Убожество
Не о чем тужить, как нечего прожить.	Достаток — Убожество
Худай, денег дай! — Дурак, на что киряк? (Дразнят татар:  худай — бог; киряк — надо.)	Достаток — Убожество
Не крестьянская деньга бумажка.	Достаток — Убожество
Чужие деньги считать — не разбогатеть.	Достаток — Убожество
Счастье бедному — алтын; богатому — миллион.	Достаток — Убожество
У кого нет рубашки, тот рад и ветошке.	Достаток — Убожество
Бедность — святое дело. У голыша та же душа.	Достаток — Убожество
Изба елова, да сердце здорово.	Достаток — Убожество
Шуба овечья, да душа человечья.	Достаток — Убожество
Хоть мошна пуста, да душа чиста.	Достаток — Убожество
Рубище не дурак, а золото не мудрец.	Достаток — Убожество
С беленькой котомкой — Христос по пути.	Достаток — Убожество
На руку зобня — и пошел голову загня (т. е. по миру).	Достаток — Убожество
Денег ни гроша, да слава хороша.	Достаток — Убожество
Гол, да не вор; беден, да честен (или: да праведен).	Достаток — Убожество
Богат, да крив; беден, да прям.	Достаток — Убожество
Лучше нищий правдивый, чем тысячник лживый.	Достаток — Убожество
Лучше нищий праведный, чем богач ябедный.	Достаток — Убожество
Лучше хлеб с водою, чем пирог с бедою.	Достаток — Убожество
Бедность не стыд (или: не порок). Бедность не порок, а  несчастье.	Достаток — Убожество
Бедность не порок, а вдвое хуже.	Достаток — Убожество
Убожество не грех, да людям в посмех.	Достаток — Убожество
Нет греха хуже бедности.	Достаток — Убожество
Богатство перед богом великий грех, а бедность перед людьми.	Достаток — Убожество
Бедность всего хуже. Нищета изнимает.	Достаток — Убожество
На бедного — сон да еда (или: еда да беда).	Достаток — Убожество
На бедного везде каплет. На бедного и капель падает.	Достаток — Убожество
На бедность и с соседней стрехи каплет.	Достаток — Убожество
Бедность и мудрого (или: и немудрого) смиряет.	Достаток — Убожество
Палата добра, да без хлеба беда (или: утла).	Достаток — Убожество
Бедность в клюку гнет. Нищета пуще смерти.	Достаток — Убожество
Бедному везде бедно. Убогий, что осиновый лист: все дрожит.	Достаток — Убожество
Бедному нигде места нет. Бедному везде тесно.	Достаток — Убожество
Бедному жениться — и ночь коротка.	Достаток — Убожество
Худ талан, коли прост (или: пуст) карман.	Достаток — Убожество
Бедный в нуже — что жаба в луже.	Достаток — Убожество
Бесконный и в Цареграде пеш.	Достаток — Убожество
И холодовал, и голодовал, и нужу знавал.	Достаток — Убожество
Ох-ох-ох: как кошель плох, так карает и бог.	Достаток — Убожество
Что и в титуле, коли нет в шкатуле.	Достаток — Убожество
Идет купец посбирать в Городец (т. е. за подаянием. Ниж. г.)	Достаток — Убожество
Лазарь убогий. Убог, как Лазарь. Петь Лазаря (просить  подаяния).	Достаток — Убожество
Подай, господи, пищу на братию нищу!	Достаток — Убожество
Грызть окна (т. е. просить подаяние).	Достаток — Убожество
Под одним окном выпросит, под другим съест.	Достаток — Убожество
Мир крещеный, да мешок холщовый: под одним окном выпросит,  под другим съест.	Достаток — Убожество
С сумой ходить — не хороводы водить.	Достаток — Убожество
С сумой идти — стыдно, а видеть дома — тошно.	Достаток — Убожество
Убогий за порогом стоит.	Достаток — Убожество
На бедняка и кадило чадит.	Достаток — Убожество
Лучше подать через порог, чем стоять у порога.	Достаток — Убожество
Лучше подать в окно, чем стоять под окном.	Достаток — Убожество
Дай бог подать, не дай бог брать (т. е. подаяние).	Достаток — Убожество
Приведи бог подать, не приведи бог принять!	Достаток — Убожество
Богатому старость, а убогому радость.	Достаток — Убожество
Богатство живет, и нищета живет.	Достаток — Убожество
И большою милостынею в рай не войдешь.	Достаток — Убожество
Монастырь скудается, а братья съедаются.	Достаток — Убожество
Богатство в час, а бедность до веку.	Достаток — Убожество
Что было в артели — все свертели (т. е. съели).	Достаток — Убожество
Что за город: и калача купить не на что.	Достаток — Убожество
Плох базар, коли хлеба купить не на что.	Достаток — Убожество
Тужил дед, что худо одет.	Достаток — Убожество
Блюди рогожу, а шубу — вши съели.	Достаток — Убожество
Здравствуй, в ветоши — не заплюхивай, носи!	Достаток — Убожество
Купил сапоги, да не избыл босоты.	Достаток — Убожество
Боты (т. е. сапоги) с охоты, а неволя и лаптям рада.	Достаток — Убожество
Холодно, на ком платье одно, а и двое, да худое — не лучше  того.	Достаток — Убожество
В кабаках дневать без денег — скучно; в торговых банях  ночевать — душно.	Достаток — Убожество
Эх-ма! Кабы денег тьма, купил бы деревеньку да зажил бы помаленьку.	Достаток — Убожество
Эх-ма! Кабы денег кма (тьма), купил бы коровку да хлебал бы  молоко.	Достаток — Убожество
Купила б я накупила, да купило притупило.	Достаток — Убожество
Купил бы крестьян, да в деньгах изъян.	Достаток — Убожество
Ох-ох-ох, кабы денег дал бог: купил бы село да и жил бы  весело.	Достаток — Убожество
Купил бы село, да в кармане голо; завел бы вотчину, да  купило покорчило.	Достаток — Убожество
Пить бы на полтину, да нет ни алтына.	Достаток — Убожество
Справил бы однорядку с корольки, да животики коротки.	Достаток — Убожество
Ерзнул бы по лавке хоть в старой однорядке, да и той нет.	Достаток — Убожество
Идти было на Вятку, да лаптей нет.	Достаток — Убожество
Богатый и в будни пирует, бедный и в праздник горюет.	Достаток — Убожество
Богатый в пир, убогий в мир (т. е. по миру).	Достаток — Убожество
Хорошо полететь, да было бы где сесть.	Достаток — Убожество
За тем дело стало, что денег мало.	Достаток — Убожество
Мало ль чего хочется, да в кармане колется (или: ежится).	Достаток — Убожество
И больно хочется, да в кармане не можется.	Достаток — Убожество
С богатым не тягайся (или: не тянись), с сильным не борись!	Достаток — Убожество
С горбатым не переклонишься, с богатым не перетянешься.	Достаток — Убожество
Люди мудренее, а годы голее.	Достаток — Убожество
Ты — как бы добыть, а люди — как бы отбить.	Достаток — Убожество
Сытый голодного не разумеет.	Достаток — Убожество
Сытый голодного, а богатый бедного не знает.	Достаток — Убожество
Привяжется зобня (или: сума) — откажется родня.	Достаток — Убожество
Богатого и в чуже знают, убогий и в своих невидим.	Достаток — Убожество
Богатый дивится, что бедному не живется (или: что бедный не  живится, т. е. не наживается).	Достаток — Убожество
Убогого слеза и жидка, да едка.	Достаток — Убожество
Не боюсь богатых гроз, а боюсь убогих слез.	Достаток — Убожество
Дал бог здоровье, да денег нет.	Достаток — Убожество
Ума палата, да денег ни гроша.	Достаток — Убожество
Бедной девке краса — смертная коса.	Достаток — Убожество
У кого денег мало, у того ума не бывало.	Достаток — Убожество
Судят не по уму, а по карману.	Достаток — Убожество
Разума много, да денег нет.	Достаток — Убожество
У него ума — полна пола, да не покрыта (или: да гола).	Достаток — Убожество
Парень бы не мот, да деньгам-то не вод.	Достаток — Убожество
Не пьяница, не мот, а денежкам не вод.	Достаток — Убожество
Такой год, что денежкам не вод (или: не род).	Достаток — Убожество
Не от того мы оголели, что сладко пили, ели; а, знать, на  наши денежки прах пал.	Достаток — Убожество
Богатые раньше нас встали да все и расхватали.	Достаток — Убожество
Без рубля, как без шпаги (или: как без шапки).	Достаток — Убожество
Алтын Мартыну — ни сапог подшить, ни скоба подковать.	Достаток — Убожество
На грош не много утрешь (т. е. съешь).	Достаток — Убожество
Три деньги в день — куда хочешь, туда день.	Достаток — Убожество
Денег много — великий грех; денег мало (или: намале) —  грешней того.	Достаток — Убожество
Бедность не грех, а до греха доводит.	Достаток — Убожество
Пустой мешок введет в грешок.	Достаток — Убожество
Голодный, и архимандрит украдет.	Достаток — Убожество
Бедность крадет, а нужда лжет.	Достаток — Убожество
Где же взять нашему брату, коли не украсть? (Солдатск.)	Достаток — Убожество
Хоть в ухо бей, да хлеба дай!	Достаток — Убожество
На деньгу суд, на безденежье не осудь.	Достаток — Убожество
Не душа лжет (или: солгала), мошна (о честном  неплательщике).	Достаток — Убожество
Не я лгу, мошна лжет.	Достаток — Убожество
Не душа вертится, мошна.	Достаток — Убожество
Богатый о корабле, бедный о кошеле (т. е. тужит).	Достаток — Убожество
У богатого груз в корабле, у бедного хлеб на уме.	Достаток — Убожество
Убогому жаль лотка, что богатому корабля.	Достаток — Убожество
У богатого сто рублей лежит, а у бедного остальной бежит.	Достаток — Убожество
В драке богатый лицо бережет, убогий — кафтан.	Достаток — Убожество
На убогом дери одежу, у богатого рожу (одна обида).	Достаток — Убожество
Есть до днесь, а впредь — бог весть.	Достаток — Убожество
Не родом нищие ведутся, а кому бог даст.	Достаток — Убожество
От тюрьмы да от сумы никто не отрекайся!	Достаток — Убожество
С сумой да с тюрьмой не бранись (не пришлось бы мириться).	Достаток — Убожество
Избытку убожество ближний сосед (или: наследник).	Достаток — Убожество
Всяко случится: и богатый к бедному стучится (прибавка: либо  долгу просит, либо молотить зовет, за долг же).	Достаток — Убожество
Наша квашня ни густа, ни пуста.	Достаток — Убожество
Не замесишь густо, как в анбаре пусто.	Достаток — Убожество
Богаты не будем, а сыты будем.	Достаток — Убожество
У нас доходы не шереметевские, а живем.	Достаток — Убожество
По миру не ходим, и нищим не подаем.	Достаток — Убожество
Тот и богат, кто нужды не знает.	Достаток — Убожество
Будь деньги за богачом, оставался бы хлеб за нами.	Достаток — Убожество
Ел бы богач деньги, кабы убогий его хлебом не кормил.	Достаток — Убожество
Богатый в деньгах, что мышь в крупах.	Достаток — Убожество
В богатом житье — как в море.	Достаток — Убожество
Простор богатому, как щуке в воде.	Достаток — Убожество
Хоть в нем катайся, хоть купайся (т. е. чего в избытке).	Достаток — Убожество
Не житье, а масленица.	Достаток — Убожество
Житье, что беловежскому зубру (и кормят, и поят, и по воле  ходит, и работы нет).	Достаток — Убожество
Тем хорошо, другим хорошо, а не худо и нам, коли полон  карман.	Достаток — Убожество
Житье, как попадье за попом (т. е. привольное: поп бережет  жену: другой не будет).	Достаток — Убожество
Живет припеваючи. Живет барином, паном.	Достаток — Убожество
С гривенки на гривенку ступает, полтиною ворота запирает.	Достаток — Убожество
Одна рука в меду, другая в сахаре (или: в патоке).	Достаток — Убожество
Как в масле сыр катается. Зарылся в добре.	Достаток — Убожество
Вселился рак в славное Кубинское (или: Ростовское) озеро.	Достаток — Убожество
У богатого и по бороде масло течет.	Достаток — Убожество
Пьет пиво да мед, ничто его неймет.	Достаток — Убожество
Ввалился, как мышь в закром (или: в короб. Иногда это значит  избыток, иногда ловушку).	Достаток — Убожество
Разливное (или: Разливанное) море.	Достаток — Убожество
Где пьют, там и льют (и бьют).	Достаток — Убожество
Где льется (или: Где через край льется), там и живется.	Достаток — Убожество
У него дом, что монастырь (обилен).	Достаток — Убожество
Дом — полная чаша.	Достаток — Убожество
Двор — кольцо кольцом. Двор кольцом, и анбар с крыльцом.	Достаток — Убожество
Мило тому, у кого много всего в дому.	Достаток — Убожество
Полон чан — сам себе пан.	Достаток — Убожество
Не кланяюсь богачу, свою рожь молочу.	Достаток — Убожество
Не будь изроден (т. е. пригож), будь природен (т. е. богат).	Достаток — Убожество
Чего хочешь, того и просишь.	Достаток — Убожество
Ешь — не хочу. Ешь, душа (или: Пей, душа), — не хочу!	Достаток — Убожество
Богатый силен, что медведь.	Достаток — Убожество
Деньга и попа в яму заведет.	Достаток — Убожество
У рака мочь в клешне, у богача в мошне.	Достаток — Убожество
Деньга и в камне дыру вертит.	Достаток — Убожество
Алтыном воюют, без алтына горюют.	Достаток — Убожество
Сколько душе угодно: в волюшку, в раздолюшку.	Достаток — Убожество
Всякого жита по лопате.	Достаток — Убожество
Были б святые денежки — ни по чем не плачу.	Достаток — Убожество
Деньга не солжет в нужде (т. е. не обманет).	Достаток — Убожество
Все есть, кроме птичьего молока. Только птичьего молока нет.	Достаток — Убожество
Разжился — и брюшко отпустил (или: запустил, отрастил).	Достаток — Убожество
Купецкий обычай, что брюхо отрастить.	Достаток — Убожество
Не от нету люди толстеют.	Достаток — Убожество
От чего казак гладок (плотен)? Поел да на бок.	Достаток — Убожество
Наелся, как бык, и не знает, как быть.	Достаток — Убожество
Не с работы тощает, а от жиру бесится (собака).	Достаток — Убожество
Разъелся, как вошь в коросте (или: в паршах).	Достаток — Убожество
Табак да баня, кабак да баба — одна забава.	Достаток — Убожество
Кто подносит, тот сам не просит.	Достаток — Убожество
Ну, гуляй на полтину!	Достаток — Убожество
И жить не скучно, и помирать не тошно.	Достаток — Убожество
Жить весело, и помирать не с чего.	Достаток — Убожество
Жить в красне хорошо и во сне.	Достаток — Убожество
Вот жизнь: и помирать не надо.	Достаток — Убожество
Год поживет — рог наживет, два поживет — два наживет; а три  поживет — хозяина сбодет (о прислуге).	Достаток — Убожество
У кого закромы полны, тому хлеба не сули.	Достаток — Убожество
Сыта душа — не берет барыша.	Достаток — Убожество
У хлеба не без крох.	Достаток — Убожество
Повар и духом сыт бывает.	Достаток — Убожество
У нас этого добра и куры не клюют.	Достаток — Убожество
Не сохнут, не мокнут, не куржавеют (деньги).	Достаток — Убожество
Как у матушки под крылышком (или: за пазушкою). Как у бога  (или: у Христа) за пазухой.	Достаток — Убожество
Будешь жить, ровно за Буем (Костромской губернии,  построенный от татарских набегов).	Достаток — Убожество
Перерод хуже недорода (т. е. цены низки).	Достаток — Убожество
Мертвый без мошны, а живой без места не будет.	Достаток — Убожество
Святое место не будет пусто.	Достаток — Убожество
Не только шерсти, что на ладони (прибавка: а овца,  сказывают, вся ею обросла).	Достаток — Убожество
На кукиш не купишь, а и купишь, не облупишь.	Достаток — Убожество
Что кому надобно, то тому и замило.	Достаток — Убожество
На что купил? — Надо. — На что продал? — Надо. — Нет тому  надо конца.	Достаток — Убожество
Пьянице и капля дорога.	Достаток — Убожество
Нужно, как мертвому кадило.	Достаток — Убожество
Что в руках, то и в устах.	Достаток — Убожество
Есть лучше нета. Есть — набитый брат; а нет — заклятой  ворог.	Достаток — Убожество
Только и есть за душой. Один одним за душой.	Достаток — Убожество
Сварить было кашу, да куры крупу расклевали.	Достаток — Убожество
Не стало свечи, что же зажечи?	Достаток — Убожество
Не станет свечи, не перст зажечи.	Достаток — Убожество
Идти было в торг, да денег нет; купить было кое-что, да не  на что.	Достаток — Убожество
Сделал бы помочь — так и нечего дать и нечего жать.	Достаток — Убожество
Разума много, да не к чему рук приложить.	Достаток — Убожество
Подарок — свечки огарок.	Достаток — Убожество
Последняя курочка с нашестка.	Достаток — Убожество
Дошла ветчинка до лычка (т. е. до конца).	Достаток — Убожество
Взвыла мошна да пошла (т. е. последняя копейка).	Достаток — Убожество
В добром житье сами кудри вьются, в худом секутся.	Достаток — Убожество
Голодной куме хлеб на уме.	Достаток — Убожество
Хоть худо живем, да тот же хлеб жуем.	Достаток — Убожество
Хоть не тем кусом, да сыты.	Достаток — Убожество
Хоть в припадочку, а тож напьемся.	Достаток — Убожество
Пригнала нужа к поганой луже.	Достаток — Убожество
Нужа пьет и из поганой лужи.	Достаток — Убожество
Невеяный хлеб не голод, а посконная рубаха не нагота.	Достаток — Убожество
Не голодна (или: Сыта) коровка, коли макухи (жмых, избоины)  не ест.	Достаток — Убожество
Не голодна коровка, коли в стрехе солома.	Достаток — Убожество
Нужды не увидишь, и в добре не походишь.	Достаток — Убожество
Не нужа, есть и хуже.	Достаток — Убожество
Кто нужды не видал, и счастья не знает.	Достаток — Убожество
Не видав нужды, и дела не узнаешь (или: и добра не увидишь).	Достаток — Убожество
Не отведав горького, не узнаешь и сладкого.	Достаток — Убожество
Одни сласти есть — горечи как узнаешь?	Достаток — Убожество
Захотят булавок, так будут у наших лавок.	Достаток — Убожество
Езди (или: Шатайся, ходи) день до вечера, а поесть нечего.	Достаток — Убожество
Шли бичевой, а хлеба ничего.	Достаток — Убожество
Без денег (или: Без снаряда), что без рук.	Достаток — Убожество
На одно солнышко глядим, да не одно едим.	Достаток — Убожество
Не накормлен конь — скотина, не пожалован молодец —  сиротина.	Достаток — Убожество
Проймет голод, появится и голос.	Достаток — Убожество
Проголодаешься, так хлеба достать догадаешься. Боль врача  ищет.	Достаток — Убожество
Клюка не укора, да сума нехороша.	Достаток — Убожество
Побираючись тож живут (или: люди живут).	Достаток — Убожество
И трава в застенье желкнет (или: глохнет).	Достаток — Убожество
